device_id,device_imei,owner_name,device_number,direction,partner_number,partner_name,call_type,start_time,duration_sec,cell_id,latitude,longitude,notes
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,082-345-6789,สมหญิง รักดี,voice,2026-01-10T08:15:00,210,TH-BKK-001,13.7563,100.5018,Morning coordination
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,INCOMING,083-456-7890,เดช กล้าหาญ,voice,2026-01-10T09:30:00,345,TH-BKK-001,13.7563,100.5018,Delivery update
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,084-567-8901,แดง สีทอง,voice,2026-01-10T10:00:00,135,TH-BKK-002,13.7469,100.5349,Order confirmation
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,085-678-9012,ดำ สีขาว,voice,2026-01-10T11:30:00,180,TH-BKK-002,13.7469,100.5349,Stock check
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,INCOMING,082-345-6789,สมหญิง รักดี,voice,2026-01-10T14:00:00,500,TH-BKK-003,13.7275,100.5235,Financial update
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,066-888-9999,Unknown Supplier,voice,2026-01-10T16:00:00,300,TH-BKK-003,13.7275,100.5235,Supplier contact
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,083-456-7890,เดช กล้าหาญ,voice,2026-01-10T18:30:00,300,TH-BKK-001,13.7563,100.5018,Evening check
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,INCOMING,084-567-8901,แดง สีทอง,voice,2026-01-10T20:00:00,270,TH-BKK-001,13.7563,100.5018,Sales report
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,082-345-6789,สมหญิง รักดี,voice,2026-01-11T07:45:00,300,TH-BKK-001,13.7563,100.5018,Morning brief
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,083-456-7890,เดช กล้าหาญ,voice,2026-01-11T10:15:00,420,TH-CMI-001,18.7883,98.9853,Chiang Mai delivery
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,INCOMING,085-678-9012,ดำ สีขาว,voice,2026-01-11T13:00:00,330,TH-CMI-001,18.7883,98.9853,Stock request
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,066-999-8888,Myanmar Contact,voice,2026-01-11T15:30:00,900,TH-CRI-001,20.4273,99.8868,Border contact
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,082-345-6789,สมหญิง รักดี,voice,2026-01-11T19:00:00,720,TH-BKK-001,13.7563,100.5018,Financial summary
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,INCOMING,083-456-7890,เดช กล้าหาญ,voice,2026-01-12T08:00:00,180,TH-BKK-001,13.7563,100.5018,Arrival confirm
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,084-567-8901,แดง สีทอง,voice,2026-01-12T11:00:00,360,TH-BKK-004,13.7313,100.5692,Distribution
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,INCOMING,081-234-5678,สมชาย ใจดี,voice,2026-01-10T08:15:00,210,TH-BKK-005,13.7465,100.5337,Morning coordination
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,OUTGOING,091-111-2222,ธนาคารกสิกร,voice,2026-01-10T09:00:00,300,TH-BKK-005,13.7465,100.5337,Bank inquiry
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,OUTGOING,092-222-3333,บัญชีม้า 1,voice,2026-01-10T10:30:00,180,TH-BKK-005,13.7465,100.5337,Transfer instruction
