Transaction_ID,Date,Time,From_Account,From_Name,From_Bank,To_Account,To_Name,To_Bank,Amount_THB,Transaction_Type,Channel,Reference,Flag,Notes
TXN001,2026-01-10,09:15:00,1234567890,นายเหยื่อ กรมธรรม์,KBANK,9876543210,นายม้า หนึ่ง,KTB,150000,TRANSFER,MOBILE,REF001,SUSPICIOUS,เหยื่อโอนให้บัญชีม้า - หลอกลงทุน
TXN002,2026-01-10,09:45:00,9876543210,นายม้า หนึ่ง,KTB,8765432109,นายม้า สอง,BAY,140000,TRANSFER,MOBILE,REF002,LAYERING,แบ่งเงินไปบัญชีม้าอื่น
TXN003,2026-01-10,10:00:00,9876543210,นายม้า หนึ่ง,KTB,,ATM Withdrawal,KTB,10000,WITHDRAWAL,ATM,REF003,CASH_OUT,ถอน ATM
TXN004,2026-01-10,10:30:00,8765432109,นายม้า สอง,BAY,7654321098,นางสาวม้า สาม,SCB,70000,TRANSFER,MOBILE,REF004,LAYERING,แบ่งเงินต่อ
TXN005,2026-01-10,10:45:00,8765432109,นายม้า สอง,BAY,6543210987,นายม้า สี่,GSB,65000,TRANSFER,MOBILE,REF005,LAYERING,แบ่งเงินต่อ
TXN006,2026-01-10,11:15:00,7654321098,นางสาวม้า สาม,SCB,5432109876,นางสาวสมหญิง รักดี,KBANK,65000,TRANSFER,MOBILE,REF006,COLLECTION,รวมเงินเข้าบัญชีผู้ต้องสงสัย
TXN007,2026-01-10,11:30:00,6543210987,นายม้า สี่,GSB,5432109876,นางสาวสมหญิง รักดี,KBANK,60000,TRANSFER,COUNTER,REF007,COLLECTION,รวมเงินเข้าบัญชีผู้ต้องสงสัย
TXN008,2026-01-10,14:00:00,5432109876,นางสาวสมหญิง รักดี,KBANK,,ATM Withdrawal,KBANK,50000,WITHDRAWAL,ATM,REF008,CASH_OUT,ถอน ATM
TXN009,2026-01-11,08:30:00,2345678901,นางเหยื่อ สมศรี,SCB,9876543210,นายม้า หนึ่ง,KTB,200000,TRANSFER,MOBILE,REF009,SUSPICIOUS,เหยื่อโอนให้บัญชีม้า - หลอกลงทุน
TXN010,2026-01-11,09:00:00,9876543210,นายม้า หนึ่ง,KTB,8765432109,นายม้า สอง,BAY,100000,TRANSFER,MOBILE,REF010,LAYERING,แบ่งครึ่ง
TXN011,2026-01-11,09:15:00,9876543210,นายม้า หนึ่ง,KTB,4321098765,นายม้า ห้า,CIMB,95000,TRANSFER,MOBILE,REF011,LAYERING,แบ่งครึ่ง
TXN012,2026-01-11,10:00:00,8765432109,นายม้า สอง,BAY,5432109876,นางสาวสมหญิง รักดี,KBANK,95000,TRANSFER,MOBILE,REF012,COLLECTION,รวมเงิน
TXN013,2026-01-11,10:30:00,4321098765,นายม้า ห้า,CIMB,5432109876,นางสาวสมหญิง รักดี,KBANK,90000,TRANSFER,MOBILE,REF013,COLLECTION,รวมเงิน
